dataset	source_accession	source_repository	publication_doi	verified_title	journal	publication_year	access_status	download_script	source_url	repository_record_url	raw_data_access_status	processed_input_access_status
GSE294786	GSE294786	GEO	10.1126/sciadv.aea3316	Charting the human-specific properties of gene expression networks in the infant prefrontal cortex	Science Advances	2026	public	download/GSE294786.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294786	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294786		
GSE296073	GSE296073	GEO / Zenodo	10.1038/s41586-025-09362-8	Microglia regulate GABAergic neurogenesis in prenatal human brain through IGF1	Nature	2025	public	download/GSE296073.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296073	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE296073		
GSE67835	GSE67835	GEO	10.1073/pnas.1507125112	A survey of human brain transcriptome diversity at the single cell level	Proceedings of the National Academy of Sciences	2015	public	download/GSE67835.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67835	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67835		
GSE81475	GSE81475	GEO	10.1016/j.celrep.2016.08.038	Zika Virus Disrupts Phospho-TBK1 Localization and Mitosis in Human Neuroepithelial Stem Cells and Radial Glia	Cell Reports	2016	public	download/GSE81475.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81475	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81475		
GSE97942	GSE97942; GSE97930	GEO	10.1038/nbt.4038	Integrative single-cell analysis of transcriptional and epigenetic states in the human adult brain	Nature Biotechnology	2018	public	download/GSE97942.sh	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE97nnn/GSE97930/suppl/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97930	GSE97930 snDrop-seq subseries links SRA SRP104166; GSE97942 is the parent super-series	public GSE97930 snDrop-seq UMI matrices for frontal cortex, visual cortex and cerebellar hemisphere
HYPOMAP	HYPOMAP	CELLxGENE	10.1038/s41586-024-08504-8	A comprehensive spatio-cellular map of the human hypothalamus	Nature	2025	public	download/HYPOMAP.sh	https://cellxgene.cziscience.com/collections/d0941303-7ce3-4422-9249-cf31eb98c480	https://cellxgene.cziscience.com/collections/d0941303-7ce3-4422-9249-cf31eb98c480		
Li_et_al_2018	Li et al. 2018	PsychENCODE publication files / Brain Cell Atlas	10.1126/science.aat7615	Integrative functional genomic analysis of human brain development and neuropsychiatric risks	Science	2018	public/source-files-retained		https://www.braincellatlas.org/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6413317/		
Ma_et_al_2022	Ma et al. 2022	Sestan lab / BrainSCOPE / GEO	10.1126/science.abo7257	Molecular and cellular evolution of the primate dorsolateral prefrontal cortex	Science	2022	public/source-specific	download/GSE207334.sh	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207334	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207334		
PRJCA015229	PRJCA015229	CNGBdb / NGDC BioProject	10.1016/j.xgen.2024.100703	Single-nucleus multi-omics analyses reveal cellular and molecular innovations in the anterior cingulate cortex during primate evolution	Cell Genomics	2024	public	download/PRJCA015229.sh	https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA015229	https://ngdc.cncb.ac.cn/bioproject/browse/PRJCA015229		
ROSMAP	ROSMAP	UCSC Cell Browser / ROSMAP / AD Knowledge Portal	10.1016/j.cell.2023.08.039	Single-cell atlas reveals correlates of high cognitive function, dementia, and resilience to Alzheimer’s disease pathology; Epigenomic dissection of Alzheimer’s disease pinpoints causal variants and reveals epigenome erosion	Cell	2023	mixed public-and-controlled	download/rosmap_ucsc_snRNAseq.sh	https://cells.ucsc.edu/rosmap-ad-aging-brain/ad-atac/rna-hq/matrix.mtx.gz	https://cells.ucsc.edu/?ds=rosmap-ad-aging-brain+ad-atac+rna-hq	controlled sequencing-data route: Synapse syn52293426; see Xiong et al. Cell 2023 DOI 10.1016/j.cell.2023.08.040	public UCSC processed gene-count matrix at rosmap-ad-aging-brain/ad-atac/rna-hq; redistribution scope remains separately documented
SomaMut	SomaMut	project website	10.1038/s41586-025-09435-8	Single-cell transcriptomic and genomic changes in the ageing human brain	Nature	2025	mixed public-and-controlled	download/SomaMut.sh	https://publications.wenglab.org/SomaMut/	https://publications.wenglab.org/SomaMut/		
Velmeshev_2023	CELLxGENE bacccb91-066d-4453-b70e-59de0b4598cd	CELLxGENE / UCSC Cell Browser / NeMO	10.1126/science.adf0834	Single-cell analysis of prenatal and postnatal human cortical development	Science	2023	mixed public-and-controlled	download/Velmeshev_2023.sh	https://cellxgene.cziscience.com/collections/bacccb91-066d-4453-b70e-59de0b4598cd	https://cellxgene.cziscience.com/collections/bacccb91-066d-4453-b70e-59de0b4598cd		
Wang_2025	CELLxGENE ad2149fc-19c5-41de-8cfe-44710fbada73	CELLxGENE / NeMO / Dryad	10.1038/s41586-024-08351-7	Molecular and cellular dynamics of the developing human neocortex	Nature	2025	public	download/Wang_2025.sh	https://cellxgene.cziscience.com/collections/ad2149fc-19c5-41de-8cfe-44710fbada73	https://cellxgene.cziscience.com/collections/ad2149fc-19c5-41de-8cfe-44710fbada73		
